time,character
0,DUKE ORSINO
0,CURIO
1,DUKE ORSINO
1,CURIO
1,VALENTINE
3,VIOLA
6,SIR ANDREW
7,SIR ANDREW
10,DUKE ORSINO
10,CURIO
17,SIR TOBY BELCH
18,SIR TOBY BELCH
19,SIR TOBY BELCH
20,SIR TOBY BELCH
21,VIOLA
21,SIR TOBY BELCH
29,VIOLA
30,VIOLA
31,VIOLA
32,VIOLA
33,VIOLA
34,VIOLA
34,MARIA
35,MALVOLIO
35,VIOLA
35,MARIA
36,MALVOLIO
36,VIOLA
36,MARIA
37,MALVOLIO
37,VIOLA
37,MARIA
39,DUKE ORSINO
39,VIOLA
39,CURIO
40,DUKE ORSINO
40,VIOLA
40,CURIO
41,DUKE ORSINO
41,VIOLA
41,CURIO
43,SIR TOBY BELCH
43,SIR ANDREW
44,MARIA
44,SIR TOBY BELCH
44,SIR ANDREW
45,MARIA
45,SIR TOBY BELCH
45,SIR ANDREW
46,MALVOLIO
46,MARIA
46,SIR TOBY BELCH
46,SIR ANDREW
47,MALVOLIO
47,MARIA
47,SIR TOBY BELCH
47,SIR ANDREW
49,VIOLA
50,VIOLA
51,VIOLA
51,SIR TOBY BELCH
52,VIOLA
52,SIR TOBY BELCH
55,SIR TOBY BELCH
55,SIR ANDREW
56,SIR TOBY BELCH
57,MARIA
57,SIR TOBY BELCH
67,SIR ANDREW
68,SIR ANDREW
73,ANTONIO
74,ANTONIO
75,ANTONIO
76,ANTONIO
79,SIR TOBY BELCH
79,SIR ANDREW
80,SIR TOBY BELCH
80,SIR ANDREW
81,SIR TOBY BELCH
81,SIR ANDREW
81,OLIVIA
89,SEBASTIAN
90,SEBASTIAN
93,DUKE ORSINO
93,VIOLA
93,CURIO
94,DUKE ORSINO
94,VIOLA
94,CURIO
95,DUKE ORSINO
95,VIOLA
95,CURIO
96,DUKE ORSINO
96,VIOLA
96,CURIO
97,DUKE ORSINO
97,VIOLA
97,CURIO
98,DUKE ORSINO
98,VIOLA
98,CURIO
98,SIR ANDREW
99,DUKE ORSINO
99,VIOLA
99,CURIO
99,SIR ANDREW
101,SEBASTIAN
102,SEBASTIAN
103,SEBASTIAN
